,model,reg,lamb,eval/lr,eval/loss,eval/ece,eval/mce,eval/top1_acc,eval/top5_acc,eval/L,eval/alphaD,eval/var,eval/lambd,eval/cummulant,test/lr,test/loss,test/ece,test/mce,test/top1_acc,test/top5_acc,test/L,test/alphaD,test/var,test/lambd,test/cummulant
50,resnet32,3,0.001,0.1,1.3652500969737198,0.05178402364253998,0.1375327706336975,0.60899999999391,0.8799999999912,1.3652501106262207,0.6525474786758423,2.7939906120300293,0.10000000149011612,0.01279960572719574,0.1,1.3156108046854675,0.040470074862241745,0.5051113367080688,0.630111111110411,0.8834444444434627,1.315610647201538,0.6657451391220093,3.05831241607666,0.10000000149011612,0.013726979494094849
51,resnet32,3,2.0,0.1,1.217736232024298,0.07280426472425461,0.15153682231903076,0.65699999999343,0.92099999999079,1.2177363634109497,0.6662015914916992,3.2588815689086914,0.10000000149011612,0.014299295842647552,0.1,1.200474313885595,0.06735339015722275,0.115020751953125,0.6697777777770335,0.908666666665657,1.2004742622375488,0.6799861788749695,3.47158145904541,0.10000000149011612,0.015085086226463318
52,resnet32,3,0.5,0.1,1.153352487474654,0.04527755826711655,0.1148521900177002,0.66299999999337,0.92699999999073,1.1533526182174683,0.6041919589042664,2.6512668132781982,0.10000000149011612,0.011812478303909302,0.1,1.14236263307163,0.04038074240088463,0.09681305289268494,0.6725555555548082,0.9147777777767613,1.1423625946044922,0.6219788789749146,2.8545525074005127,0.10000000149011612,0.012621305882930756
53,resnet32,5,0.5,0.1,1.1556450012990798,0.1016649529337883,0.419232577085495,0.68499999999315,0.92599999999074,1.1556452512741089,0.6988697052001953,3.714653491973877,0.10000000149011612,0.016024760901927948,0.1,1.1247210887491907,0.0938296765089035,0.1704743206501007,0.7036666666658847,0.9215555555545315,1.1247210502624512,0.7048050165176392,3.8357431888580322,0.10000000149011612,0.016448549926280975
54,resnet32,3,0.01,0.1,1.2594120376530722,0.043058738112449646,0.12488126754760742,0.62699999999373,0.88599999999114,1.2594122886657715,0.6222389936447144,2.6280078887939453,0.10000000149011612,0.011939004063606262,0.1,1.23319362132486,0.028935231268405914,0.07325644791126251,0.6551111111103831,0.8974444444434472,1.2331936359405518,0.6408892273902893,2.898444652557373,0.10000000149011612,0.012963034212589264
55,resnet32,0,0.1,0.1,1.3674281698813213,0.15087416768074036,0.29415449500083923,0.6809999999931899,0.91099999999089,1.3674284219741821,0.8922368884086609,6.0592827796936035,0.10000000149011612,0.025281205773353577,0.1,1.3295942000344798,0.14047768712043762,0.27145808935165405,0.6957777777770047,0.9104444444434328,1.3295942544937134,0.8714636564254761,5.85090970993042,0.10000000149011612,0.024308279156684875
56,resnet32,5,0.1,0.1,1.1608384731557144,0.09821411967277527,0.19176900386810303,0.68199999999318,0.91899999999081,1.1608386039733887,0.6943346261978149,3.6059348583221436,0.10000000149011612,0.015669099986553192,0.1,1.0993493783179904,0.07967254519462585,0.15900421142578125,0.6986666666658903,0.9206666666656437,1.0993493795394897,0.6640865802764893,3.314457654953003,0.10000000149011612,0.014466419816017151
57,vgg11_bn,4,1.0,0.1,1.6602408719931725,0.18351894617080688,0.41436687111854553,0.68499999999315,0.88199999999118,1.6602407693862915,1.0644539594650269,7.797954559326172,0.10000000149011612,0.0332411527633667,0.1,1.5309864795416135,0.16506308317184448,0.38618361949920654,0.7054444444436605,0.890333333332344,1.5309865474700928,1.0402226448059082,8.053418159484863,0.10000000149011612,0.033002451062202454
58,vgg11_bn,5,0.1,0.1,1.518549546315054,0.17413321137428284,0.3870968520641327,0.66899999999331,0.89399999999106,1.518549919128418,0.955532968044281,6.559174060821533,0.10000000149011612,0.027732372283935547,0.1,1.4288233502724648,0.15125630795955658,0.3252609968185425,0.7037777777769958,0.898999999999001,1.4288233518600464,0.9627482891082764,7.121872901916504,0.10000000149011612,0.02908611297607422
59,vgg11_bn,3,1.0,0.1,4.605286552152701,0.00026697758585214615,0.00026697758585214615,0.0099999999999,0.04499999999955,4.605286121368408,0.005544982384890318,0.00015125746722333133,0.10000000149011612,7.450580596923828e-07,0.1,4.605239439191878,0.00026715174317359924,0.00026715174317359924,0.009999999999988888,0.05055555555549938,4.6052398681640625,0.005478377919644117,0.00014720040780957788,0.10000000149011612,1.2814998626708984e-06
60,vgg11_bn,4,0.01,0.1,1.5549347245171812,0.15917819738388062,0.3942473232746124,0.68499999999315,0.86299999999137,1.5549348592758179,1.0048233270645142,7.124687671661377,0.10000000149011612,0.03023552894592285,0.1,1.488993179468237,0.1523500680923462,0.3531861901283264,0.7069999999992144,0.8881111111101242,1.4889932870864868,1.005859613418579,7.571331024169922,0.10000000149011612,0.031114816665649414
61,vgg11_bn,5,0.5,0.1,1.6818042825365105,0.20045924186706543,0.9340921640396118,0.66499999999335,0.87899999999121,1.6818045377731323,1.08399498462677,8.460443496704102,0.10000000149011612,0.03500938415527344,0.1,1.5041729989822814,0.16326048970222473,0.36080658435821533,0.7038888888881067,0.8919999999990088,1.5041730403900146,1.0238512754440308,7.978815078735352,0.10000000149011612,0.032392486929893494
62,vgg11_bn,3,0.5,0.1,2.118524053369203,0.16388842463493347,0.32541269063949585,0.40899999999591,0.78699999999213,2.1185245513916016,0.4925106465816498,1.5444825887680054,0.10000000149011612,0.007246851921081543,0.1,2.162432085389588,0.1586591899394989,0.3668918013572693,0.41611111111064875,0.7714444444435872,2.1624319553375244,0.5420185327529907,1.9224934577941895,0.10000000149011612,0.008893430233001709
63,vgg11_bn,3,0.001,0.1,4.604922725404631,0.002532830461859703,0.002532830461859703,0.01299999999987,0.05599999999944,4.604924201965332,0.009216713719069958,0.0004088360001333058,0.10000000149011612,1.6987323760986328e-06,0.1,4.605422703606143,0.0008008219301700592,0.0008008219301700592,0.009666666666655926,0.049333333333278516,4.6054229736328125,0.009153968654572964,0.00040348467882722616,0.10000000149011612,2.5033950805664062e-06
64,vgg11_bn,4,0.5,0.1,1.5998972494352928,0.17609179019927979,0.9026700258255005,0.67899999999321,0.88299999999117,1.5998971462249756,1.0334457159042358,7.575389862060547,0.10000000149011612,0.03189076483249664,0.1,1.5109457158148643,0.16163654625415802,0.3757273256778717,0.7083333333325462,0.8907777777767879,1.5109457969665527,1.0280535221099854,7.938826560974121,0.10000000149011612,0.032410770654678345
